feature_id,lot_area_sqft,no_bedrooms,no_bathrooms,no_kitchens,no_floors,parking_area_sqft,year_built,condition_rating
1,3418,4,4,2,2,473,1981,1
2,2611,4,4,2,1,89,2022,9
3,797,1,1,1,1,52,1972,7
4,2155,3,3,2,1,,2020,2
5,1469,3,3,1,1,18,1982,2
6,4351,5,5,2,2,130,1991,1
7,2934,,4,2,1,181,2000,7
8,1502,3,3,2,1,,2005,9
9,3671,5,5,2,2,640,2009,4
10,3063,4,4,2,2,605,1987,4
11,1882,3,3,2,1,299,1956,6
12,1719,3,3,2,1,,2003,2
13,1989,3,3,2,1,381,1966,1
14,920,,1,1,1,103,2002,7
15,917,1,1,1,1,,1991,3
16,586,1,1,1,1,34,2004,2
17,3180,4,4,2,2,416,1983,3
18,1139,2,2,1,1,53,1996,1
19,1633,3,3,2,1,62,1977,2
20,2168,3,3,2,1,236,1994,5
21,2543,4,4,2,1,310,1964,7
22,2746,4,4,2,1,545,1960,9
23,762,,1,1,1,52,2008,4
24,3986,5,5,2,2,472,1976,8
25,2993,4,4,2,1,178,1953,5
26,4661,6,6,3,2,129,1962,8
27,2067,,3,2,1,,1967,9
28,4947,6,6,3,2,99,2010,1
29,1455,3,3,1,1,48,2002,4
30,2017,3,3,2,1,81,2013,2
31,4219,5,5,2,2,131,1978,4
32,1532,3,3,2,1,64,1985,1
33,1235,2,2,1,1,,1953,6
34,2259,3,3,2,1,66,2021,6
35,536,1,1,1,1,41,2011,3
36,1612,3,3,2,1,211,2007,7
37,571,,1,1,1,37,2003,4
38,4092,5,5,2,2,604,2013,4
39,3803,5,5,2,2,668,1955,10
40,3580,4,4,2,2,243,2022,9
41,4703,6,6,3,2,489,2005,2
42,3616,5,5,2,2,538,1968,2
43,977,1,1,1,1,113,1953,6
44,4112,5,5,2,2,672,2005,5
45,3173,4,4,2,2,545,1981,8
46,3044,4,4,2,2,445,1962,3
47,3178,4,4,2,2,136,1993,10
48,4596,6,6,3,2,209,1992,4
49,1131,2,2,1,1,188,1983,2
50,814,1,1,1,1,94,1980,10
51,2841,4,4,2,1,415,2002,3
