property_id,address_id,owner_id,agent_id,feature_id,listing_date,listing_type,asking_amount
1,411,221,327,1,1/27/2021,Sale,471216
2,45,988,384,2,5/6/2022,Sale,362377
3,338,181,643,3,6/29/2020,Sale,595328
4,26,765,108,4,5/31/2021,Rental,933964
5,391,970,832,5,6/9/2019,Sale,
6,851,479,913,6,7/13/2020,Sale,903208
7,863,4,288,7,12/12/2023,Rental,141770
8,310,118,524,8,2/25/2022,Rental,738200
9,208,645,445,9,5/10/2023,Sale,300904
10,922,275,149,10,7/8/2023,Rental,168352
11,254,982,99,11,10/4/2022,Rental,47395
12,801,222,281,12,2/24/2023,Rental,859680
13,974,534,556,13,7/8/2022,Rental,271050
14,162,977,182,14,10/28/2019,Rental,59082
15,702,396,51,15,8/27/2022,Rental,186929
16,362,36,357,16,1/7/2022,Sale,226926
17,261,518,633,17,1/10/2023,Rental,
18,339,603,13,18,4/5/2020,Sale,647939
19,55,515,459,19,3/4/2021,,314776
20,811,17,312,20,9/20/2021,Sale,595579
21,153,767,314,21,9/28/2021,Sale,383845
22,11,568,804,22,7/24/2022,,
23,839,595,125,23,7/3/2020,,
24,85,799,744,24,5/31/2020,,941795
25,518,945,217,25,7/26/2019,Sale,889771
26,50,918,520,26,12/4/2021,Rental,484836
27,935,324,89,27,6/3/2022,,548190
28,398,346,320,28,8/11/2021,,515748
29,579,590,756,29,10/12/2023,Sale,39361
30,844,949,355,30,3/1/2021,Rental,249581
31,803,278,508,31,2/20/2022,Sale,53848
32,820,567,732,32,8/3/2020,Sale,882362
33,290,699,290,33,11/13/2022,Sale,648909
34,77,591,448,34,11/16/2019,,114767
35,800,319,116,35,3/2/2023,Sale,544243
36,204,331,436,36,10/19/2023,Rental,666868
37,479,536,546,37,8/4/2021,Rental,874558
38,213,933,315,38,4/17/2020,Sale,612120
39,955,689,483,39,3/1/2022,,595357
40,497,269,46,40,3/11/2019,Rental,235388
41,709,336,583,41,4/19/2019,Rental,696196
42,359,884,593,42,10/19/2019,Sale,307673
43,90,825,114,43,8/10/2021,Rental,154191
44,987,719,731,44,11/13/2020,Sale,454918
45,166,793,377,45,4/26/2023,,859391
46,195,581,398,46,10/25/2021,Sale,691544
47,403,701,145,47,3/13/2023,,
48,314,156,655,48,1/7/2022,Rental,922438
49,349,87,713,49,2/10/2019,,395844
50,674,307,957,50,7/4/2022,Sale,24543
51,576,152,247,51,2/25/2023,Rental,421684
52,813,451,586,52,6/21/2022,Sale,209683
53,358,961,271,53,2/5/2022,Sale,993637
54,86,657,690,54,1/15/2019,Sale,751404
55,996,931,58,55,7/13/2021,,553240
56,97,257,418,56,5/24/2022,Rental,110581
57,400,38,47,57,6/6/2019,Rental,365695
58,927,573,477,58,6/28/2023,Rental,255264
59,808,832,295,59,10/27/2023,Rental,568383
60,749,414,23,60,7/13/2021,Sale,483967
61,430,957,481,61,12/9/2019,Sale,830073
62,915,83,667,62,8/24/2019,Rental,682312
63,75,778,330,63,5/8/2020,Rental,584316
64,513,743,962,64,12/18/2021,Rental,26141
65,424,49,939,65,6/2/2021,Sale,722849
66,859,450,729,66,9/6/2020,Sale,874666
67,491,608,746,67,8/25/2023,Sale,517605
68,548,304,603,68,10/29/2019,Sale,631073
69,375,31,835,69,3/25/2021,Rental,389307
70,760,692,526,70,3/1/2021,,540901
71,994,556,968,71,1/13/2020,Sale,387417
72,224,560,933,72,2/12/2023,Sale,197153
73,240,623,421,73,1/4/2022,Rental,901799
74,672,670,515,74,8/1/2021,Sale,810230
75,741,33,864,75,6/30/2019,Rental,127671
76,666,409,767,76,11/15/2020,Sale,309431
77,968,862,889,77,12/23/2022,Sale,734275
78,869,282,124,78,11/19/2022,Rental,901299
79,152,702,648,79,5/16/2022,Rental,74098
80,83,919,519,80,12/6/2023,Sale,728959
81,727,841,6,81,1/20/2019,Sale,
82,28,974,571,82,7/29/2023,Sale,369776
83,510,112,986,83,12/18/2021,Rental,357692
84,633,557,952,84,6/20/2021,Rental,272099
85,903,99,816,85,1/9/2020,Rental,954256
86,139,550,349,86,12/17/2020,Sale,73088
87,695,973,61,87,10/11/2019,Sale,725207
88,750,926,109,88,6/27/2019,Rental,673517
89,114,306,557,89,5/31/2020,Sale,971314
90,964,868,575,90,2/19/2020,Sale,677291
91,549,267,403,91,8/3/2019,Sale,988492
92,926,177,159,92,11/28/2019,Sale,314310
93,364,41,567,93,3/29/2019,Sale,872689
94,535,609,449,94,7/29/2019,Rental,335441
95,977,922,183,95,8/22/2021,Rental,669878
96,925,908,422,96,7/18/2022,Sale,737508
97,486,524,135,97,6/5/2022,Rental,262833
98,443,258,836,98,7/7/2021,Rental,894004
99,320,769,493,99,2/23/2023,Sale,885559
100,704,400,313,100,8/11/2021,,346606
101,483,614,635,101,8/30/2019,Rental,58937
102,92,587,378,102,6/18/2020,Sale,574771
103,794,71,692,103,6/28/2019,Sale,794018
104,632,193,755,104,9/17/2022,Rental,
105,972,612,389,105,8/29/2019,Sale,852726
106,49,679,854,106,8/27/2022,Rental,690136
107,825,766,802,107,7/20/2019,Rental,750716
108,993,879,760,108,5/5/2022,Sale,849862
109,159,671,248,109,7/22/2020,Sale,789016
110,533,946,56,110,5/5/2023,Sale,453230
111,756,1000,884,111,8/27/2022,Sale,517512
112,277,265,914,112,10/5/2019,,915257
113,423,204,989,113,8/20/2021,Sale,380761
114,270,467,334,114,4/8/2021,Sale,467636
115,711,963,528,115,6/14/2021,Sale,967534
116,371,390,612,116,4/8/2021,,755442
117,285,677,395,117,1/30/2023,Rental,744242
118,161,490,166,118,7/14/2020,Rental,636393
119,52,548,796,119,6/7/2023,Rental,479249
120,846,528,495,120,3/22/2023,Sale,571014
121,163,294,64,121,11/9/2019,Sale,814513
122,435,828,954,122,3/17/2022,Rental,27269
123,504,370,133,123,1/28/2019,Sale,
124,502,446,191,124,7/9/2022,Sale,987132
125,984,499,470,125,9/28/2022,Sale,
126,660,678,17,126,11/28/2019,Sale,363918
127,353,780,838,127,6/11/2021,Rental,161675
128,630,210,102,128,1/8/2023,Sale,423656
129,119,626,79,129,12/4/2021,Sale,863636
130,884,89,751,130,3/30/2020,Sale,461651
131,459,663,867,131,4/3/2023,Rental,185879
132,488,175,990,132,5/30/2021,,831552
133,569,644,234,133,1/11/2019,Rental,860361
134,167,249,916,134,7/21/2022,Sale,113755
135,595,151,984,135,5/11/2019,Sale,773402
136,292,171,919,136,3/21/2023,Sale,610342
137,209,464,53,137,6/26/2019,Rental,728186
138,279,48,610,138,9/29/2021,Sale,966007
139,450,773,871,139,5/18/2019,Sale,
140,481,939,502,140,1/21/2019,Rental,564947
141,965,737,997,141,1/7/2019,Rental,542886
142,731,891,727,142,4/20/2020,Rental,405871
143,88,757,127,143,3/19/2023,,905134
144,238,123,963,144,3/24/2020,Rental,
145,765,391,888,145,6/18/2020,Rental,648935
146,27,927,362,146,7/3/2022,Sale,578419
147,15,622,160,147,6/17/2020,Sale,183963
148,620,605,602,148,4/21/2023,Sale,937939
149,715,930,882,149,12/13/2019,Rental,671510
150,117,991,67,150,8/30/2019,Rental,56041
151,624,582,878,151,5/25/2021,Rental,377626
152,836,653,995,152,9/7/2023,Rental,472284
153,933,230,264,153,11/11/2020,Sale,357086
154,156,611,242,154,12/4/2019,Sale,132999
155,444,749,841,155,8/31/2023,,270445
156,748,883,469,156,3/24/2019,Sale,547669
157,372,502,419,157,6/10/2023,Rental,827605
158,475,194,859,158,12/28/2023,,377629
159,511,943,822,159,4/8/2022,Sale,275460
160,593,418,123,160,6/26/2023,,896166
161,89,607,590,161,2/18/2019,,523599
162,601,172,147,162,11/13/2020,Sale,293011
163,981,50,819,163,12/17/2020,Sale,532155
164,768,833,239,164,9/24/2021,Sale,772239
165,971,967,140,165,1/6/2019,,404994
166,893,413,266,166,1/4/2020,Sale,238063
167,191,850,761,167,1/12/2021,Rental,775335
168,477,896,375,168,7/30/2023,Rental,937871
169,328,429,293,169,1/11/2020,Rental,497698
170,150,907,256,170,12/24/2023,Sale,272109
171,246,631,613,171,1/2/2020,Sale,715985
172,581,987,137,172,7/13/2023,Sale,690708
173,369,866,285,173,8/15/2023,Rental,883530
174,726,768,57,174,3/5/2020,,971835
175,875,185,823,175,7/26/2019,Rental,563827
176,661,410,942,176,8/14/2020,Rental,740298
177,809,950,430,177,1/21/2020,Sale,537016
178,774,514,174,178,5/19/2023,,747459
179,187,283,724,179,10/7/2021,Sale,682522
180,563,665,885,180,12/28/2022,Sale,765142
181,975,360,226,181,12/15/2022,Rental,68726
182,885,522,413,182,1/2/2020,Sale,216212
183,439,938,834,183,4/1/2021,Sale,
184,460,417,478,184,8/7/2019,Sale,947499
185,605,18,455,185,9/21/2020,Rental,577425
186,895,184,443,186,6/18/2020,Rental,381599
187,840,800,545,187,9/15/2021,Rental,877826
188,516,66,624,188,6/24/2019,Rental,730041
189,547,574,31,189,6/16/2021,Rental,790199
190,123,234,637,190,11/7/2020,Sale,786458
191,628,598,861,191,5/3/2020,Sale,949950
192,907,650,425,192,6/7/2021,,81833
193,212,559,383,193,3/29/2022,Rental,444909
194,323,682,219,194,9/18/2021,Sale,222607
195,68,218,201,195,3/26/2020,Sale,649022
196,340,845,7,196,9/19/2023,Rental,372298
197,492,754,657,197,10/24/2021,,704963
198,441,921,766,198,10/7/2021,Sale,952521
199,47,872,910,199,12/7/2019,,659178
200,343,384,274,200,2/20/2020,Sale,115892
201,680,246,656,201,5/7/2022,Sale,
202,781,712,641,202,4/4/2021,Rental,493300
203,436,979,664,203,8/13/2019,Sale,122223
204,382,738,879,204,9/26/2021,Sale,869419
205,738,791,241,205,10/30/2023,Rental,475812
206,476,438,649,206,2/11/2021,Sale,995084
207,617,953,750,207,11/28/2019,,980864
208,225,358,709,208,6/4/2020,,431373
209,298,674,45,209,4/9/2019,Rental,
210,960,314,531,210,7/20/2023,Sale,34682
211,860,233,431,211,8/20/2022,Sale,698762
212,18,12,20,212,3/22/2023,Sale,815638
213,276,531,579,213,8/28/2019,Sale,182280
214,867,925,662,214,7/11/2023,Rental,905306
215,422,137,946,215,4/21/2021,Sale,905192
216,589,139,259,216,5/16/2023,Sale,996571
217,299,289,214,217,9/4/2020,Sale,686187
218,54,804,694,218,11/4/2022,Rental,
219,402,153,674,219,7/2/2020,Rental,274472
220,566,90,700,220,10/22/2021,Sale,
221,611,313,553,221,10/16/2019,Sale,517224
222,734,357,877,222,10/15/2023,Sale,
223,186,753,286,223,6/24/2020,Sale,
224,135,382,62,224,6/17/2022,Sale,106331
225,30,798,442,225,7/2/2023,,386133
226,936,272,464,226,7/27/2019,Rental,570211
227,676,854,683,227,1/10/2021,Sale,133001
228,932,984,922,228,12/7/2020,Sale,864214
229,377,544,161,229,8/26/2019,Rental,577866
230,783,486,895,230,4/25/2020,,317080
231,969,93,76,231,12/5/2021,Sale,30403
232,501,286,94,232,1/1/2023,,700928
233,552,32,152,233,2/16/2023,Sale,618929
234,4,577,175,234,3/4/2022,Sale,
235,121,639,82,235,1/11/2021,Sale,692914
236,406,704,158,236,2/7/2019,Sale,193448
237,173,805,828,237,11/28/2022,Rental,908200
238,172,208,626,238,11/5/2021,Sale,
239,67,260,774,239,10/14/2022,Rental,652913
240,920,368,943,240,2/15/2021,,606994
