TransactionID,Date,Year,Quarter,Month,Week,Day,State,City,ZipCode,Gender,AgeCat,AgentSince,Position,LotArea,Bedrooms,Bathrooms,Kitchens,Floors,ParkingArea,BuiltSince,Condition,ListingType,NumVisits,MaintenanceExp,AskedAmount,TransactionValue,CommissionRate,CommissionValue,NegotiationDays,ClosingDays
1,2023-05-11,2023,2,5,19,11,Oklahoma,Tulsa,70939,Female,Adult,2,Property Manager,2844,4,4,2,1,52,56,Poor,Sale,0,0,687717.0,593524.0,4.6,13454.0,0,1131
2,2023-07-30,2023,3,7,31,30,Ohio,Cleveland,44118,Female,Middle Aged,5,Property Manager,3956,5,5,2,2,435,62,Excellent,Rental,0,0,156949.0,223828.0,5.7,18473.0,0,88
3,2023-02-17,2023,1,2,7,17,California,Stockton,95298,Female,Senior,4,Real Estate Agent,3879,5,5,2,2,311,30,Average,Sale,0,0,647250.0,288221.0,3.4,5446.0,0,0
4,2023-11-06,2023,4,11,45,6,Michigan,Dearborn,48126,Male,Adult,3,Real Estate Agent,4748,6,6,3,2,287,68,Poor,Rental,1,0,345035.0,352138.0,4.2,36442.0,60,1065
5,2023-12-23,2023,4,12,51,23,District of Columbia,Washington,20099,Female,Middle Aged,1,Listing Coordinator,2881,4,4,2,1,215,56,Average,Sale,2,5266,949950.0,247777.0,5.2,44152.0,48,1329
6,2023-12-09,2023,4,12,49,9,Oregon,Portland,97229,Female,Adult,4,Listing Coordinator,2476,4,4,2,1,120,45,Poor,Rental,0,13061,68726.0,364858.0,8.085337309309375,29500.0,0,359
7,2022-12-02,2022,4,12,48,2,Texas,Lubbock,79405,Female,Adult,5,Real Estate Agent,2317,4,4,2,1,59,52,Poor,Sale,1,0,665977.0,621278.0,3.5,19019.0,20,389
8,2023-03-21,2023,1,3,12,21,Ohio,Dayton,45403,Male,Adult,1,Broker Associate,3985,5,5,2,2,747,73,Poor,Rental,0,8736,451994.0,406131.0,5.4,38072.0,0,978
9,2021-09-10,2021,3,9,37,10,Virginia,Roanoke,24040,Female,Adult,4,Property Manager,4825,6,6,3,2,509,32,Poor,Sale,1,0,701229.0,607759.0,3.322534096574464,20193.0,76,0
10,2022-02-15,2022,1,2,7,15,Kansas,Wichita,67205,Male,Middle Aged,5,Real Estate Agent,4748,6,6,3,2,491,18,Average,Rental,1,0,438078.0,486641.0,2.7,16373.0,169,210
11,2023-06-20,2023,2,6,25,20,Virginia,Norfolk,23551,Female,Adult,3,Listing Coordinator,3952,5,5,2,2,450,15,Average,Rental,1,4093,232530.0,277775.0,2.4,10676.0,88,61
12,2022-03-24,2022,1,3,12,24,Alabama,Montgomery,36134,Male,Middle Aged,4,Listing Coordinator,2280,3,3,2,1,17,20,Excellent,Sale,1,946,725207.0,254540.0,3.7,26323.0,106,895
13,2021-07-16,2021,3,7,29,16,Washington,Spokane,99220,Female,Adult,2,Real Estate Agent,2017,3,3,2,1,81,11,Poor,Rental,0,19592,249581.0,755814.0,4.4,29861.0,0,137
14,2022-10-13,2022,4,10,41,13,Maryland,Gaithersburg,20883,Male,Middle Aged,5,Property Manager,3986,5,5,2,2,649,20,Poor,Sale,1,0,341668.0,815818.0,2.7,23249.0,57,841
15,2023-06-09,2023,2,6,23,9,Connecticut,New Haven,6520,Female,Senior,1,Leasing Consultant,3189,4,4,2,2,95,47,Average,Rental,1,0,285134.0,220134.0,5.5,4658.0,58,1397
16,2022-01-05,2022,1,1,1,5,California,San Jose,95173,Male,Middle Aged,3,Broker Associate,843,1,1,1,1,31,7,Average,Rental,1,2055,93146.0,620740.0,3.9,36094.0,13,303
17,2023-11-25,2023,4,11,47,25,Florida,Tampa,33615,Male,Adult,2,Broker Associate,4786,6,6,3,2,800,8,Poor,Sale,1,7364,516382.0,391520.0,2.0,23344.0,130,1291
18,2023-04-17,2023,2,4,16,17,North Carolina,Charlotte,28247,Female,Adult,2,Leasing Consultant,3848,5,5,2,2,687,5,Excellent,Sale,1,3738,519555.0,785425.0,3.6,48752.0,53,1466
19,2021-10-08,2021,4,10,41,8,District of Columbia,Washington,20535,Male,Middle Aged,3,Broker Associate,2508,4,4,2,1,18,50,Poor,Sale,1,10188,855453.0,180353.0,3.6,17792.0,48,750
20,2021-01-15,2021,1,1,3,15,Texas,Houston,77288,Male,Adult,1,Leasing Consultant,1819,3,3,2,1,46,4,Poor,Sale,1,4781,783038.0,591965.0,3.5,49265.0,119,0
21,2022-02-28,2022,1,2,9,28,Washington,Seattle,98158,Female,Middle Aged,2,Leasing Consultant,2089,3,3,2,1,342,15,Average,Sale,0,17664,312480.0,716555.0,5.3,41715.0,0,504
22,2022-10-20,2022,4,10,42,20,California,Fresno,93750,Male,Middle Aged,3,Property Manager,3418,4,4,2,2,473,43,Poor,Sale,3,0,471216.0,779520.0,2.1,36879.0,99,631
23,2022-03-01,2022,1,3,9,1,Missouri,Lees Summit,59333,Male,Adult,2,Property Manager,3668,5,5,2,2,7,17,Average,Sale,1,234,330547.0,614892.0,3.7,6759.0,44,474
24,2022-06-24,2022,2,6,25,24,Virginia,Charlottesville,22249,Male,Senior,4,Listing Coordinator,2897,4,4,2,1,211,70,Average,Rental,1,6409,110581.0,293431.0,4.9,49645.0,19,31
25,2021-02-10,2021,1,2,6,10,Mississippi,Meridian,39305,Male,Adult,5,Property Manager,2949,4,4,2,1,261,48,Excellent,Rental,1,7029,728186.0,454953.0,5.3,47114.0,149,595
26,2022-04-14,2022,2,4,15,14,Florida,Fort Myers,33913,Female,Middle Aged,5,Property Manager,3705,5,5,2,2,687,13,Poor,Sale,1,11241,771716.0,737728.0,4.7,31920.0,110,126
27,2021-09-27,2021,3,9,39,27,North Carolina,Wilmington,28410,Male,Middle Aged,2,Listing Coordinator,3205,4,4,2,2,71,53,Average,Rental,1,0,905306.0,768412.0,5.6,1025.0,121,0
28,2023-10-16,2023,4,10,42,16,New York,White Plains,10633,Female,Senior,3,Property Manager,3909,5,5,2,2,713,47,Average,Rental,0,1378,465665.0,437584.0,2.8,44848.0,0,1693
29,2021-04-12,2021,2,4,15,12,Louisiana,Lake Charles,70607,Male,Adult,5,Listing Coordinator,1532,3,3,2,1,64,39,Poor,Sale,1,9802,882362.0,887658.0,5.0,1305.0,143,252
30,2022-09-07,2022,3,9,36,7,Louisiana,Lafayette,70593,Female,Adult,5,Real Estate Agent,4916,6,6,3,2,496,39,Average,Rental,1,9200,847050.0,778684.0,1.2265566006236164,9551.0,121,692
31,2022-08-07,2022,3,8,32,7,Nevada,Las Vegas,89140,Male,Adult,3,Broker Associate,1891,3,3,2,1,372,32,Excellent,Sale,1,775,562190.0,176590.0,2.5,15181.0,26,0
32,2023-08-03,2023,3,8,31,3,Texas,Houston,77276,Female,Adult,4,Property Manager,3836,5,5,2,2,150,47,Average,Rental,3,6336,951375.0,982168.0,4.6,14426.0,15,234
33,2022-09-19,2022,3,9,38,19,California,Whittier,90605,Male,Middle Aged,2,Leasing Consultant,4220,5,5,2,2,667,1,Poor,Sale,2,6341,35020.0,930849.0,5.1,20193.0,55,789
34,2021-05-30,2021,2,5,22,30,Kentucky,London,40745,Male,Middle Aged,4,Listing Coordinator,3458,4,4,2,2,276,3,Poor,Sale,1,16766,905193.0,695407.0,2.3,27254.0,43,0
35,2022-03-08,2022,1,3,10,8,Virginia,Springfield,22156,Male,Senior,1,Leasing Consultant,2416,4,4,2,1,4,13,Excellent,Rental,1,249,365747.0,980784.0,3.4,44170.0,99,1003
36,2022-04-01,2022,2,4,13,1,Alaska,Anchorage,99512,Female,Adult,3,Property Manager,576,1,1,1,1,52,34,Average,Sale,0,6674,141184.0,288916.0,2.3,48000.0,0,417
37,2023-09-11,2023,3,9,37,11,District of Columbia,Washington,20238,Male,Middle Aged,3,Broker Associate,4578,6,6,3,2,297,55,Average,Rental,2,0,697748.0,999173.0,2.8,14311.0,70,57
